model,mae,mse,rmse,r2,cv_mae,cv_rmse,cv_r2,rank_by_rmse,is_best_model
Ridge Regression,15954.165755495576,397637035.1970054,19940.83837748567,0.9981122817455508,15986.565765843012,20018.40999270385,0.9980874837302326,1,True
Linear Regression,15954.17274532634,397637450.3150051,19940.848786222847,0.9981122797748446,15986.554204023114,20018.409819740595,0.998087483763254,2,False
Random Forest,21664.521918933864,739691191.2278498,27197.264407065828,0.99648843432392,22645.30780540343,28298.4545939626,0.9961776907797903,3,False
